"Gene","Count","Tissue","Patient ID","Data File ID"
"ENSG00000112234","892","Lumbar Spinal Cord","NEUUZ212DHJ","CGND-HRA-03021"
"ENSG00000112234","846","Lumbar Spinal Cord","NEUVE818GRA","CGND-HRA-03061"
"ENSG00000112234","1038","Lumbar Spinal Cord","NEUVM032BF2","CGND-HRA-02636"
"ENSG00000112234","983","Lumbar Spinal Cord","NEUVV225XKB","CGND-HRA-03107"
"ENSG00000112234","722","Lumbar Spinal Cord","NEUWC334RTZ","CGND-HRA-01377"
"ENSG00000112234","745","Lumbar Spinal Cord","NEUWD570BTK","CGND-HRA-01383"
"ENSG00000112234","924","Lumbar Spinal Cord","NEUWG326WUJ","CGND-HRA-01533"
"ENSG00000112234","732","Lumbar Spinal Cord","NEUWG523WRV","CGND-HRA-00642"
"ENSG00000112234","1395","Lumbar Spinal Cord","NEUWK953TJN","CGND-HRA-02448"
"ENSG00000112234","2145","Lumbar Spinal Cord","NEUWP285RM6","CGND-HRA-00420"
"ENSG00000112234","1186","Lumbar Spinal Cord","NEUWT414AYT","CGND-HRA-02179"
"ENSG00000112234","996","Lumbar Spinal Cord","NEUWX051HMF","CGND-HRA-01440"
"ENSG00000112234","1221","Lumbar Spinal Cord","NEUWZ373ZHA","CGND-HRA-00315"
"ENSG00000112234","1702","Lumbar Spinal Cord","NEUWZ841BRT","CGND-HRA-03269"
"ENSG00000112234","1456","Lumbar Spinal Cord","NEUXD265LJ8","CGND-HRA-01661"
"ENSG00000112234","888","Lumbar Spinal Cord","NEUXD817GGZ","CGND-HRA-02218"
"ENSG00000112234","1290","Lumbar Spinal Cord","NEUXF746MEU","CGND-HRA-02460"
"ENSG00000112234","1056","Lumbar Spinal Cord","NEUXG883FGC","CGND-HRA-03123"
"ENSG00000112234","970","Lumbar Spinal Cord","NEUXH792ZDW","CGND-HRA-03109"
"ENSG00000112234","888","Lumbar Spinal Cord","NEUXN530DK8","CGND-HRA-01520"
"ENSG00000112234","1762","Lumbar Spinal Cord","NEUXR099CKK","CGND-HRA-00282"
"ENSG00000112234","931","Lumbar Spinal Cord","NEUXR145UBL","CGND-HRA-01392"
"ENSG00000112234","1829","Lumbar Spinal Cord","NEUXT979EZV","CGND-HRA-00036"
"ENSG00000112234","1054","Lumbar Spinal Cord","NEUXV447YXF","CGND-HRA-03423"
"ENSG00000112234","1163","Lumbar Spinal Cord","NEUXW599BNC","CGND-HRA-01315"
"ENSG00000112234","1046","Lumbar Spinal Cord","NEUXY076JMB","CGND-HRA-00666"
"ENSG00000112234","839","Lumbar Spinal Cord","NEUXZ213MVF","CGND-HRA-01496"
"ENSG00000112234","1470","Lumbar Spinal Cord","NEUYB686REL","CGND-HRA-00037"
"ENSG00000112234","1071","Lumbar Spinal Cord","NEUYB841CUY","CGND-HRA-03121"
"ENSG00000112234","1053","Lumbar Spinal Cord","NEUYE611NWL","CGND-HRA-03334"
"ENSG00000112234","1072","Lumbar Spinal Cord","NEUYF686AK9","CGND-HRA-03346"
"ENSG00000112234","1305","Lumbar Spinal Cord","NEUYJ579GT6","CGND-HRA-02173"
"ENSG00000216817","4","Lumbar Spinal Cord","JHU73","CGND-HRA-00558"
"ENSG00000112234","1041","Lumbar Spinal Cord","NEUYT145HVC","CGND-HRA-02160"
"ENSG00000112234","1804","Lumbar Spinal Cord","NEUYV496XLP","CGND-HRA-00028"
"ENSG00000112234","1215","Lumbar Spinal Cord","NEUYW563PXU","CGND-HRA-02491"
"ENSG00000112234","1488","Lumbar Spinal Cord","NEUYX020CB0","CGND-HRA-00390"
"ENSG00000112234","1400","Lumbar Spinal Cord","NEUYY221HZA","CGND-HRA-00272"
"ENSG00000112234","999","Lumbar Spinal Cord","NEUZF190CT2","CGND-HRA-03129"
"ENSG00000112234","2444","Lumbar Spinal Cord","NEUZK186ZK4","CGND-HRA-00683"
"ENSG00000112234","1200","Lumbar Spinal Cord","NEUZK363UAQ","CGND-HRA-01595"
"ENSG00000112234","1834","Lumbar Spinal Cord","NEUZU200WEQ","CGND-HRA-00029"
"ENSG00000112234","1811","Lumbar Spinal Cord","NEUZX073BDK","CGND-HRA-00376"
"ENSG00000112234","1268","Lumbar Spinal Cord","NEUZX847VWV-NEUWR459TCY","CGND-HRA-01554"
"ENSG00000216817","7","Lumbar Spinal Cord","GWF14-01","CGND-HRA-00299"
"ENSG00000216817","4","Lumbar Spinal Cord","JHU79","CGND-HRA-00565"
"ENSG00000216817","3","Lumbar Spinal Cord","JHU80","CGND-HRA-00570"
"ENSG00000216817","8","Lumbar Spinal Cord","JHU82","CGND-HRA-00577"
"ENSG00000216817","7","Lumbar Spinal Cord","JHU83","CGND-HRA-00584"
"ENSG00000216817","3","Lumbar Spinal Cord","NEUAA712LGL","CGND-HRA-03027"
"ENSG00000216817","0","Lumbar Spinal Cord","NEUAE883HW3","CGND-HRA-02646"
"ENSG00000216817","1","Lumbar Spinal Cord","NEUAG831KFQ","CGND-HRA-01432"
"ENSG00000216817","3","Lumbar Spinal Cord","NEUAJ995AXE","CGND-HRA-02466"
"ENSG00000216817","5","Lumbar Spinal Cord","NEUAL503EPH","CGND-HRA-01307"
"ENSG00000216817","0","Lumbar Spinal Cord","NEUAP156PM4","CGND-HRA-00606"
"ENSG00000216817","2","Lumbar Spinal Cord","NEUAT369TG5","CGND-HRA-00337"
"ENSG00000216817","4","Lumbar Spinal Cord","NEUAV181KYK","CGND-HRA-02405"
"ENSG00000216817","9","Lumbar Spinal Cord","NEUAV667LJK","CGND-HRA-00345"
"ENSG00000216817","5","Lumbar Spinal Cord","NEUAY067UTB","CGND-HRA-00750"
"ENSG00000216817","0","Lumbar Spinal Cord","NEUBB078VEG","CGND-HRA-01323"
"ENSG00000216817","12","Lumbar Spinal Cord","NEUBD692FG6","CGND-HRA-03328"
"ENSG00000216817","3","Lumbar Spinal Cord","NEUBE992ZD1","CGND-HRA-01611"
"ENSG00000216817","5","Lumbar Spinal Cord","NEUBN400CYR","CGND-HRA-03417"
"ENSG00000216817","4","Lumbar Spinal Cord","NEUBU587UWA","CGND-HRA-02236"
"ENSG00000216817","8","Lumbar Spinal Cord","NEUBU920EK5","CGND-HRA-03316"
"ENSG00000216817","0","Lumbar Spinal Cord","NEUCG551GV1","CGND-HRA-00468"
"ENSG00000216817","2","Lumbar Spinal Cord","NEUCN416KGV","CGND-HRA-02248"
"ENSG00000216817","2","Lumbar Spinal Cord","NEUCV649UJK","CGND-HRA-00275"
"ENSG00000216817","7","Lumbar Spinal Cord","NEUCW292DYJ","CGND-HRA-00279"
"ENSG00000216817","9","Lumbar Spinal Cord","NEUCY461UB1","CGND-HRA-03041"
"ENSG00000216817","0","Lumbar Spinal Cord","NEUDD512DJM","CGND-HRA-03465"
"ENSG00000216817","10","Lumbar Spinal Cord","NEUDG361GA9","CGND-HRA-00238"
"ENSG00000216817","6","Lumbar Spinal Cord","NEUDG727NTW","CGND-HRA-00432"
"ENSG00000216817","6","Lumbar Spinal Cord","NEUDJ612NZM","CGND-HRA-02472"
"ENSG00000216817","2","Lumbar Spinal Cord","NEUDK592BDZ","CGND-HRA-02153"
"ENSG00000216817","9","Lumbar Spinal Cord","NEUDM397JGD","CGND-HRA-00235"
"ENSG00000216817","5","Lumbar Spinal Cord","NEUDR086ZDQ","CGND-HRA-00237"
"ENSG00000216817","4","Lumbar Spinal Cord","NEUDT233ZZ1","CGND-HRA-00426"
"ENSG00000216817","4","Lumbar Spinal Cord","NEUDT709YHN","CGND-HRA-01648"
"ENSG00000216817","8","Lumbar Spinal Cord","NEUDX768ADY","CGND-HRA-02795"
"ENSG00000216817","5","Lumbar Spinal Cord","NEUEA633EN5","CGND-HRA-00675"
"ENSG00000216817","4","Lumbar Spinal Cord","NEUEB569WFU","CGND-HRA-01416"
"ENSG00000216817","1","Lumbar Spinal Cord","NEUEC006FND","CGND-HRA-00031"
"ENSG00000216817","2","Lumbar Spinal Cord","NEUEE362LGE","CGND-HRA-01637"
"ENSG00000216817","7","Lumbar Spinal Cord","NEUEE593VY7","CGND-HRA-00408"
"ENSG00000216817","9","Lumbar Spinal Cord","NEUEF397VVN","CGND-HRA-00307"
"ENSG00000216817","4","Lumbar Spinal Cord","NEUEF856BLV","CGND-HRA-00464"
"ENSG00000216817","8","Lumbar Spinal Cord","NEUEH612JPA","CGND-HRA-00614"
"ENSG00000216817","4","Lumbar Spinal Cord","NEUEL133AK6","CGND-HRA-00027"
"ENSG00000216817","3","Lumbar Spinal Cord","NEUEL766XR1","CGND-HRA-03487"
"ENSG00000216817","2","Lumbar Spinal Cord","NEUEM417CHQ","CGND-HRA-02505"
"ENSG00000216817","3","Lumbar Spinal Cord","NEUEP010ZFE","CGND-HRA-01183"
"ENSG00000216817","9","Lumbar Spinal Cord","NEUFE255AG2","CGND-HRA-00485"
"ENSG00000216817","1","Lumbar Spinal Cord","NEUFG213VG0","CGND-HRA-03299"
"ENSG00000216817","1","Lumbar Spinal Cord","NEUFR417RN4","CGND-HRA-03133"
"ENSG00000216817","1","Lumbar Spinal Cord","NEUFT454ZFP","CGND-HRA-00233"
"ENSG00000216817","6","Lumbar Spinal Cord","NEUFU395MJD","CGND-HRA-03055"
"ENSG00000216817","5","Lumbar Spinal Cord","NEUFV843EVC","CGND-HRA-01502"
"ENSG00000216817","4","Lumbar Spinal Cord","NEUFY271WFL","CGND-HRA-03275"
"ENSG00000216817","3","Lumbar Spinal Cord","NEUGA773REC","CGND-HRA-00039"
"ENSG00000216817","0","Lumbar Spinal Cord","NEUGD051YM7","CGND-HRA-02430"
"ENSG00000216817","0","Lumbar Spinal Cord","NEUGD887RT1","CGND-HRA-01490"
"ENSG00000216817","4","Lumbar Spinal Cord","NEUGG230KV0","CGND-HRA-02436"
"ENSG00000216817","4","Lumbar Spinal Cord","NEUGJ562DR9","CGND-HRA-02513"
"ENSG00000216817","1","Lumbar Spinal Cord","NEUGK141CFH","CGND-HRA-01177"
"ENSG00000216817","7","Lumbar Spinal Cord","NEUGL022MN2","CGND-HRA-01583"
"ENSG00000216817","2","Lumbar Spinal Cord","NEUGN938BHY","CGND-HRA-03115"
"ENSG00000216817","1","Lumbar Spinal Cord","NEUGP259EBV","CGND-HRA-01447"
"ENSG00000216817","22","Lumbar Spinal Cord","NEUGT049MJ1","CGND-HRA-02907"
"ENSG00000216817","13","Lumbar Spinal Cord","NEUGU437VNF","CGND-HRA-01427"
"ENSG00000216817","1","Lumbar Spinal Cord","NEUGV102NYT","CGND-HRA-01980"
"ENSG00000216817","9","Lumbar Spinal Cord","NEUGY575NUQ","CGND-HRA-00589"
"ENSG00000216817","8","Lumbar Spinal Cord","NEUHA141EEC","CGND-HRA-00592"
"ENSG00000216817","9","Lumbar Spinal Cord","NEUHC282LVJ","CGND-HRA-00035"
"ENSG00000216817","9","Lumbar Spinal Cord","NEUHC994KV4","CGND-HRA-02230"
"ENSG00000216817","6","Lumbar Spinal Cord","NEUHD481VCL","CGND-HRA-00236"
"ENSG00000216817","0","Lumbar Spinal Cord","NEUHJ609AXD","CGND-HRA-03502"
"ENSG00000216817","17","Lumbar Spinal Cord","NEUHM311CG5","CGND-HRA-03111"
"ENSG00000216817","3","Lumbar Spinal Cord","NEUHM340FBZ","CGND-HRA-01484"
